date,product,category,price,quantity,revenue,waste
2024-01-01,Tomatoes,Vegetables,2.5,50,125,5
2024-01-02,Onions,Vegetables,1.8,75,135,8
2024-01-03,Peppers,Vegetables,3.2,30,96,3
2024-01-04,Carrots,Vegetables,2.1,60,126,6
2024-01-05,Tomatoes,Vegetables,2.5,50,125,5
2024-01-06,Onions,Vegetables,1.8,75,135,8
2024-01-07,Peppers,Vegetables,3.2,30,96,3
2024-01-08,Carrots,Vegetables,2.1,60,126,6
2024-01-09,Tomatoes,Vegetables,2.5,50,125,5
2024-01-10,Onions,Vegetables,1.8,75,135,8
2024-01-11,Peppers,Vegetables,3.2,30,96,3
2024-01-12,Carrots,Vegetables,2.1,60,126,6
2024-01-13,Tomatoes,Vegetables,2.5,50,125,5
2024-01-14,Onions,Vegetables,1.8,75,135,8
2024-01-15,Peppers,Vegetables,3.2,30,96,3
2024-01-16,Carrots,Vegetables,2.1,60,126,6
2024-01-17,Tomatoes,Vegetables,2.5,50,125,5
2024-01-18,Onions,Vegetables,1.8,75,135,8
2024-01-19,Peppers,Vegetables,3.2,30,96,3
2024-01-20,Carrots,Vegetables,2.1,60,126,6
2024-01-21,Tomatoes,Vegetables,2.5,50,125,5
2024-01-22,Onions,Vegetables,1.8,75,135,8
2024-01-23,Peppers,Vegetables,3.2,30,96,3
2024-01-24,Carrots,Vegetables,2.1,60,126,6
2024-01-25,Tomatoes,Vegetables,2.5,50,125,5
2024-01-26,Onions,Vegetables,1.8,75,135,8
2024-01-27,Peppers,Vegetables,3.2,30,96,3
2024-01-28,Carrots,Vegetables,2.1,60,126,6
2024-01-29,Tomatoes,Vegetables,2.5,50,125,5
2024-01-30,Onions,Vegetables,1.8,75,135,8
2024-01-31,Peppers,Vegetables,3.2,30,96,3
2024-02-01,Carrots,Vegetables,2.1,60,126,6
2024-02-02,Tomatoes,Vegetables,2.5,50,125,5
2024-02-03,Onions,Vegetables,1.8,75,135,8
2024-02-04,Peppers,Vegetables,3.2,30,96,3
2024-02-05,Carrots,Vegetables,2.1,60,126,6
2024-02-06,Tomatoes,Vegetables,2.5,50,125,5
2024-02-07,Onions,Vegetables,1.8,75,135,8
2024-02-08,Peppers,Vegetables,3.2,30,96,3
2024-02-09,Carrots,Vegetables,2.1,60,126,6
2024-02-10,Tomatoes,Vegetables,2.5,50,125,5
2024-02-11,Onions,Vegetables,1.8,75,135,8
2024-02-12,Peppers,Vegetables,3.2,30,96,3
2024-02-13,Carrots,Vegetables,2.1,60,126,6
2024-02-14,Tomatoes,Vegetables,2.5,50,125,5
2024-02-15,Onions,Vegetables,1.8,75,135,8
2024-02-16,Peppers,Vegetables,3.2,30,96,3
2024-02-17,Carrots,Vegetables,2.1,60,126,6
2024-02-18,Tomatoes,Vegetables,2.5,50,125,5
2024-02-19,Onions,Vegetables,1.8,75,135,8
2024-02-20,Peppers,Vegetables,3.2,30,96,3
2024-02-21,Carrots,Vegetables,2.1,60,126,6
2024-02-22,Tomatoes,Vegetables,2.5,50,125,5
2024-02-23,Onions,Vegetables,1.8,75,135,8
2024-02-24,Peppers,Vegetables,3.2,30,96,3
2024-02-25,Carrots,Vegetables,2.1,60,126,6
2024-02-26,Tomatoes,Vegetables,2.5,50,125,5
2024-02-27,Onions,Vegetables,1.8,75,135,8
2024-02-28,Peppers,Vegetables,3.2,30,96,3
2024-02-29,Carrots,Vegetables,2.1,60,126,6
2024-03-01,Tomatoes,Vegetables,2.5,50,125,5
2024-03-02,Onions,Vegetables,1.8,75,135,8
2024-03-03,Peppers,Vegetables,3.2,30,96,3
2024-03-04,Carrots,Vegetables,2.1,60,126,6
2024-03-05,Tomatoes,Vegetables,2.5,50,125,5
2024-03-06,Onions,Vegetables,1.8,75,135,8
2024-03-07,Peppers,Vegetables,3.2,30,96,3
2024-03-08,Carrots,Vegetables,2.1,60,126,6
2024-03-09,Tomatoes,Vegetables,2.5,50,125,5
2024-03-10,Onions,Vegetables,1.8,75,135,8
2024-03-11,Peppers,Vegetables,3.2,30,96,3
2024-03-12,Carrots,Vegetables,2.1,60,126,6
2024-03-13,Tomatoes,Vegetables,2.5,50,125,5
2024-03-14,Onions,Vegetables,1.8,75,135,8
2024-03-15,Peppers,Vegetables,3.2,30,96,3
2024-03-16,Carrots,Vegetables,2.1,60,126,6
2024-03-17,Tomatoes,Vegetables,2.5,50,125,5
2024-03-18,Onions,Vegetables,1.8,75,135,8
2024-03-19,Peppers,Vegetables,3.2,30,96,3
2024-03-20,Carrots,Vegetables,2.1,60,126,6
2024-03-21,Tomatoes,Vegetables,2.5,50,125,5
2024-03-22,Onions,Vegetables,1.8,75,135,8
2024-03-23,Peppers,Vegetables,3.2,30,96,3
2024-03-24,Carrots,Vegetables,2.1,60,126,6
2024-03-25,Tomatoes,Vegetables,2.5,50,125,5
2024-03-26,Onions,Vegetables,1.8,75,135,8
2024-03-27,Peppers,Vegetables,3.2,30,96,3
2024-03-28,Carrots,Vegetables,2.1,60,126,6
2024-03-29,Tomatoes,Vegetables,2.5,50,125,5
2024-03-30,Onions,Vegetables,1.8,75,135,8
2024-03-31,Peppers,Vegetables,3.2,30,96,3
2024-04-01,Carrots,Vegetables,2.1,60,126,6
2024-04-02,Tomatoes,Vegetables,2.5,50,125,5
2024-04-03,Onions,Vegetables,1.8,75,135,8
2024-04-04,Peppers,Vegetables,3.2,30,96,3
2024-04-05,Carrots,Vegetables,2.1,60,126,6
2024-04-06,Tomatoes,Vegetables,2.5,50,125,5
2024-04-07,Onions,Vegetables,1.8,75,135,8
2024-04-08,Peppers,Vegetables,3.2,30,96,3
2024-04-09,Carrots,Vegetables,2.1,60,126,6
